name	ina	sex	note	isni	wd	nationality	date	occupation
Nixon , Richard	http://www.ina.fr/thesaurus/pp/concept_10092924	http://www.ina.fr/core#Male	Homme politique. Etats Unis	https://isni.org/isni/0000000122790777	Q9588	United States of America	1913	personnalités politiques étrangères
Reza Pahlavi , Mohammad	http://www.ina.fr/thesaurus/pp/concept_10218029	http://www.ina.fr/core#Male	Shah d'Iran	https://isni.org/isni/0000000437569698	Q128245	Iran	1919	personnalités politiques étrangères
Senghor , Léopold Sédar	http://www.ina.fr/thesaurus/pp/concept_10144540	http://www.ina.fr/core#Male	Homme politique, écrivain. Sénégal	https://isni.org/isni/0000000122841060	Q154545	Senegal	1906	personnalités politiques étrangères
Ben Bella , Ahmed	http://www.ina.fr/thesaurus/pp/concept_10202345	http://www.ina.fr/core#Male	Homme politique. Algérie	https://isni.org/isni/0000000121453402	Q179908	Algeria	1916	personnalités politiques étrangères
Erhard , Ludwig	http://www.ina.fr/thesaurus/pp/concept_10170172	http://www.ina.fr/core#Male	Homme politique. Allemagne RF	https://isni.org/isni/0000000416472547	Q2496	West Germany	1897	personnalités politiques étrangères
Leclerc de Hauteclocque , Philippe	http://www.ina.fr/thesaurus/pp/concept_10083483	http://www.ina.fr/core#Male	Maréchal de France	https://isni.org/isni/0000000121024528	Q312391	France	1902	militaires
Peyrefitte , Alain	http://www.ina.fr/thesaurus/pp/concept_10065438	http://www.ina.fr/core#Male	Homme politique, diplomate, essayiste, académicien. France	https://isni.org/isni/0000000108156972	Q929334	France	1925	personnalités politiques françaises
Reynaud , Paul	http://www.ina.fr/thesaurus/pp/concept_10138570	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000374987058	Q161076	France	1878	personnalités politiques françaises
Sarraut , Albert	http://www.ina.fr/thesaurus/pp/concept_10179723	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000121224546	Q460318	France	1872	personnalités politiques étrangères
Frachon , Benoît	http://www.ina.fr/thesaurus/pp/concept_10181466	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000083925455	Q2896527	France	1893	personnalités politiques françaises
Gaillard , Félix	http://www.ina.fr/thesaurus/pp/concept_10118615	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000433610593	Q365413	France	1919	personnalités politiques françaises
Hailé Sélassié Ier	http://www.ina.fr/thesaurus/pp/concept_10171531	http://www.ina.fr/core#Male	Empereur. Ethiopie	https://isni.org/isni/0000000109102298	Q41178	Ethiopian Empire	1892	personnalités politiques étrangères
Hassan II	http://www.ina.fr/thesaurus/pp/concept_10151677	http://www.ina.fr/core#Male	Roi du Maroc	https://isni.org/isni/0000000108891731	Q69103	Morocco	1929	personnalités politiques étrangères
Kennedy , John Fitzgerald	http://www.ina.fr/thesaurus/pp/concept_10214482	http://www.ina.fr/core#Male	Homme politique. Etats Unis	https://isni.org/isni/000000012148740X	Q9696	United States of America	1917	personnalités politiques étrangères
Kopa , Raymond	http://www.ina.fr/thesaurus/pp/concept_10154026	http://www.ina.fr/core#Male	Footballeur. France	https://isni.org/isni/0000000362539741	Q123118	France	1931	sportifs
Maurois , André	http://www.ina.fr/thesaurus/pp/concept_10156542	http://www.ina.fr/core#Male	Emile Herzog dit, écrivain. France	https://isni.org/isni/0000000122808981	Q224029	France	1885	artistes, écrivains
Papon , Maurice	http://www.ina.fr/thesaurus/pp/concept_10073810	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000115910283	Q327009	France	1910	personnalités politiques françaises
Paul VI	http://www.ina.fr/thesaurus/pp/concept_10131760	http://www.ina.fr/core#Male	Pape. Italie	https://isni.org/isni/0000000475754771	Q16975	Italy	1897	personnalités politiques étrangères
Soustelle , Jacques	http://www.ina.fr/thesaurus/pp/concept_10201862	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000116106756	Q699510	France	1912	personnalités politiques françaises
Attlee , Clément Richard	http://www.ina.fr/thesaurus/pp/concept_10214877	http://www.ina.fr/core#Male	Homme politique. Grande Bretagne	https://isni.org/isni/0000000121280695	Q129006	United Kingdom	1883	personnalités politiques étrangères
Brandt , Willy	http://www.ina.fr/thesaurus/pp/concept_10148181	http://www.ina.fr/core#Male	Homme politique. Allemagne RF	https://isni.org/isni/0000000369206595	Q2514	West Germany	1913	personnalités politiques étrangères
Duhamel , Georges	http://www.ina.fr/thesaurus/pp/concept_10115570	http://www.ina.fr/core#Male	Ecrivain. France	https://isni.org/isni/0000000399487068	Q20733	France	1884	artistes, écrivains
Chaban Delmas , Jacques	http://www.ina.fr/thesaurus/pp/concept_10118982	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000121287387	Q12940	France	1915	personnalités politiques françaises
Mitterrand , François	http://www.ina.fr/thesaurus/pp/concept_10080266	http://www.ina.fr/core#Male	Homme politique, écrivain. France	https://isni.org/isni/0000000138777972	Q2038	France	1916	personnalités politiques françaises
Morgan , Michèle	http://www.ina.fr/thesaurus/pp/concept_10083450	http://www.ina.fr/core#Female	Actrice. France	https://isni.org/isni/0000000483184000	Q234897	France	1920	artistes, écrivains
Wilson , Harold	http://www.ina.fr/thesaurus/pp/concept_10106004	http://www.ina.fr/core#Male	Homme politique. Grande Bretagne	https://isni.org/isni/0000000500070671	Q128956	United Kingdom	1916	personnalités politiques étrangères
Blum , Léon	http://www.ina.fr/thesaurus/pp/concept_10150106	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000122537595	Q18434	France	1872	personnalités politiques françaises
Bourgès Maunoury , Maurice		http://www.ina.fr/core#Male		https://isni.org/isni/0000000044655499	Q380992		1914	personnalités politiques françaises
Brejnev , Leonid	http://www.ina.fr/thesaurus/pp/concept_10089391	http://www.ina.fr/core#Male	Homme politique. URSS	https://isni.org/isni/0000000483305677	Q765165	Soviet Union	1906	personnalités politiques étrangères
Christian Jaque	http://www.ina.fr/thesaurus/pp/concept_10115445	http://www.ina.fr/core#Male	Réalisateur. France	https://isni.org/isni/0000000108137974	Q728214	France	1904	artistes, écrivains
Fouchet , Christian	http://www.ina.fr/thesaurus/pp/concept_10080255	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000066533572	Q1079532	France	1911	personnalités politiques françaises
Genevoix , Maurice	http://www.ina.fr/thesaurus/pp/concept_10080376	http://www.ina.fr/core#Male	Ecrivain. France	https://isni.org/isni/0000000121456961	Q22750	France	1890	artistes, écrivains
Salan , Raoul	http://www.ina.fr/thesaurus/pp/concept_10120181	http://www.ina.fr/core#Male	Militaire général, responsable de l'OAS, co-auteur du putsch d'Alger. France	https://isni.org/isni/0000000456814476	Q241944	France	1899	personnalités politiques françaises
Schumann , Maurice	http://www.ina.fr/thesaurus/pp/concept_10195464	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000382840283	Q282882	France	1911	personnalités politiques françaises
Bordeneuve , Jacques	http://www.ina.fr/thesaurus/pp/concept_10084870	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000000142480	Q662517	France	1908	personnalités politiques françaises
Lejeune , Max	http://www.ina.fr/thesaurus/pp/concept_10087452	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000043980126	Q3302200	France	1909	personnalités politiques françaises
Petsche , Maurice	http://www.ina.fr/thesaurus/pp/concept_10185674	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000358244940	Q3301257	France	1895	personnalités politiques françaises
Thorez , Maurice	http://www.ina.fr/thesaurus/pp/concept_10161024	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000121024608	Q345408	France	1900	personnalités politiques françaises
Cornu , André	http://www.ina.fr/thesaurus/pp/concept_10175211	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000140900650	Q2847553	France	1892	personnalités politiques françaises
Giscard d' Estaing , Valéry	http://www.ina.fr/thesaurus/pp/concept_10184557	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000121430788	Q2124	France	1926	personnalités politiques françaises
Marcellin , Raymond	http://www.ina.fr/thesaurus/pp/concept_10126428	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000121272388	Q1347314	France	1914	personnalités politiques françaises
Monnet , Jean	http://www.ina.fr/thesaurus/pp/concept_10197419	http://www.ina.fr/core#Male	Economiste	https://isni.org/isni/0000000466812263	Q159700		1888	personnalités politiques françaises
Pétain , Philippe	http://www.ina.fr/thesaurus/pp/concept_10103241	http://www.ina.fr/core#Male	Militaire, homme politique. France	https://isni.org/isni/0000000121442391	Q5721	France	1856	personnalités politiques françaises
Pisani , Edgard	http://www.ina.fr/thesaurus/pp/concept_10122875	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000083831600	Q1284283	France	1918	personnalités politiques françaises
Thorez Vermeersch , Jeannette	http://www.ina.fr/thesaurus/pp/concept_10187872	http://www.ina.fr/core#Female	Femme politique. France	https://isni.org/isni/0000000368543450		France	1910	personnalités politiques françaises
Tillon , Charles	http://www.ina.fr/thesaurus/pp/concept_10154293	http://www.ina.fr/core#Male	Militant politique PCF, résistant fondateur des FTPF. France	https://isni.org/isni/0000000109261686	Q970284	France	1897	personnalités politiques françaises
Gazier , Albert	http://www.ina.fr/thesaurus/pp/concept_10097129	http://www.ina.fr/core#Male	Syndicaliste, homme politique. France	https://isni.org/isni/000000008111283X	Q2831194	France	1908	personnalités politiques françaises
Gouin , Félix	http://www.ina.fr/thesaurus/pp/concept_10062965	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000024799778	Q381187	France	1884	personnalités politiques françaises
Holleaux , André	http://www.ina.fr/thesaurus/pp/concept_10119764	http://www.ina.fr/core#Male	Haut fonctionnaire. France	https://isni.org/isni/0000000040486309	Q50383909	France	1921	personnalités politiques françaises
Massu , Jacques	http://www.ina.fr/thesaurus/pp/concept_10109555	http://www.ina.fr/core#Male	Militaire général	https://isni.org/isni/0000000121485033	Q693529		1908	personnalités politiques françaises
Teitgen , Pierre Henri	http://www.ina.fr/thesaurus/pp/concept_10184327	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000110325923	Q319011	France	1908	personnalités politiques françaises
Terrenoire , Louis	http://www.ina.fr/thesaurus/pp/concept_10158728	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000081323696	Q1871995	France	1908	personnalités politiques françaises
Billères , René	http://www.ina.fr/thesaurus/pp/concept_10115596	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000000786446	Q2676536	France	1910	personnalités politiques françaises
Bollaert , Emile	http://www.ina.fr/thesaurus/pp/concept_10157701	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000000898042	Q3588365	France	1890	personnalités politiques françaises
Missoffe , François	http://www.ina.fr/thesaurus/pp/concept_10112574	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000122076063	Q1278120	France	1919	personnalités politiques françaises
Parodi , Alexandre	http://www.ina.fr/thesaurus/pp/concept_10197057	http://www.ina.fr/core#Male	Haut fonctionnaire, homme politique, résistant. France	https://isni.org/isni/0000000121258252	Q2833947	France	1901	personnalités politiques françaises
Prigent , Robert	http://www.ina.fr/thesaurus/pp/concept_10117919	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000373685859	Q2482445	France	1910	personnalités politiques françaises
Margaret Rose d' Angleterre	http://www.ina.fr/thesaurus/pp/concept_298541	http://www.ina.fr/core#Female	Princesse, soeur d'Elizabeth II. Grande Bretagne	https://isni.org/isni/0000000073752765		United Kingdom	1930	femme ou mari de
Bernhard des Pays Bas	http://www.ina.fr/thesaurus/pp/concept_10219875	http://www.ina.fr/core#Male	Prince allemand devenu prince consort. Pays Bas	https://isni.org/isni/000000011879998X		Kingdom of the Netherlands	1968	femme ou mari de
Léonard , Roger	http://www.ina.fr/thesaurus/pp/concept_10187121	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000431320007	Q7125954	France	1898	personnalités politiques françaises
Perillier , Louis	http://www.ina.fr/thesaurus/pp/concept_10192355	http://www.ina.fr/core#Male		https://isni.org/isni/000000005922187X	Q3262973		1900	personnalités politiques françaises
Guillaume , Augustin	http://www.ina.fr/thesaurus/pp/concept_10222363	http://www.ina.fr/core#Male	Militaire général. France	https://isni.org/isni/0000000431083822	Q2871595	France	1895	militaires
Juliana des Pays Bas	http://www.ina.fr/thesaurus/pp/concept_10146117	http://www.ina.fr/core#Female	Reine des Pays Bas	https://isni.org/isni/000000011879998X	Q154946	Kingdom of the Netherlands	1909	personnalités politiques étrangères
Humez , Charles	http://www.ina.fr/thesaurus/pp/concept_10185134	http://www.ina.fr/core#Male	Boxeur. France		Q935287	France	1927	sportifs
Petiot , Lucien	http://www.ina.fr/thesaurus/pp/concept_10085261	http://www.ina.fr/core#Male	Opérateur de prise de vue					
Becognee , Claude	http://www.ina.fr/thesaurus/pp/concept_237275	http://www.ina.fr/core#Male	Opérateur prise de vue					
Labaume , Bernard	http://www.ina.fr/thesaurus/pp/concept_408955	http://www.ina.fr/core#Male	Journaliste					artistes, écrivains
