name	ina	sex	note	isni	wd	nationality	date	occupation
Chou , En Lai	http://www.ina.fr/thesaurus/pp/concept_10204058	http://www.ina.fr/core#Male	Homme politique. Chine République Populaire	https://isni.org/isni/000000012124394X	Q17410	People's Republic of China	1898	personnalités politiques étrangères
Fourre Cormeray , Michel	http://www.ina.fr/thesaurus/pp/concept_10108243	http://www.ina.fr/core#Male	Directeur général du cinéma français après la guerre	https://isni.org/isni/0000000071231747	Q18619801		1910	artistes, écrivains
Koblet , Hugo	http://www.ina.fr/thesaurus/pp/concept_10129616	http://www.ina.fr/core#Male	Coureur cycliste. Suisse	https://isni.org/isni/0000000073271646	Q123548	Switzerland	1925	sportifs
Labonne , Eirik	http://www.ina.fr/thesaurus/pp/concept_10208821	http://www.ina.fr/core#Male	Diplomate. France	https://isni.org/isni/0000000002114424	Q1353996	France	1888	personnalités politiques françaises
Mikoyan , Anastase	http://www.ina.fr/thesaurus/pp/concept_10143383	http://www.ina.fr/core#Male	Homme politique. URSS	https://isni.org/isni/0000000108884494	Q152738	Soviet Union	1895	personnalités politiques étrangères
Trichet , Adolphe	http://www.ina.fr/thesaurus/pp/concept_295599	http://www.ina.fr/core#Male						artistes, écrivains
Armstrong Jones , Antony		http://www.ina.fr/core#Male		https://isni.org/isni/0000000120186277	Q335260		1930	artistes, écrivains
Ben Ammar , Tahar	http://www.ina.fr/thesaurus/pp/concept_10216734	http://www.ina.fr/core#Male	Homme politique. Tunisie	https://isni.org/isni/0000000122439274	Q495676	Tunisia	1889	personnalités politiques étrangères
Delecour , Jocelyn	http://www.ina.fr/thesaurus/pp/concept_10089783	http://www.ina.fr/core#Male	Athlète course à pied, spécialiste du 100 et du 200 mètres. France		Q1632411	France	1935	sportifs
El Mabrouk , Patrick	http://www.ina.fr/thesaurus/pp/concept_292001	http://www.ina.fr/core#Male	Athlète. France, Algérie		Q3369420	France	1928	sportifs
Oreiller , Henri	http://www.ina.fr/thesaurus/pp/concept_10118905	http://www.ina.fr/core#Male	Skieur. France	https://isni.org/isni/0000000001206896	Q1346766	France	1925	sportifs
Sologne , Madeleine	http://www.ina.fr/thesaurus/pp/concept_10057001	http://www.ina.fr/core#Female	Actrice. France	https://isni.org/isni/0000000121299222	Q529122	France	1912	artistes, écrivains
Van Steenbergen , Henri	http://www.ina.fr/thesaurus/pp/concept_10132944	http://www.ina.fr/core#Male	Coureur cycliste. Belgique			Belgium		sportifs
